level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	1	27	1	1	0	684	287	225	12	-1	
5	1	27	1	1	1	684	288	32	9	82.421715	Issue
5	1	27	1	1	2	720	293	12	1	82.421715	—
5	1	27	1	1	3	736	287	62	10	85.759216	Ctrl+Enter
5	1	27	1	1	4	801	290	36	9	92.560593	saves,
5	1	27	1	1	5	842	288	19	9	92.560593	Esc
5	1	27	1	1	6	865	287	44	10	75.954597	cancels
2	1	28	0	0	0	675	266	364	1	-1	
3	1	28	1	0	0	675	266	364	1	-1	
4	1	28	1	1	0	675	266	364	1	-1	
5	1	28	1	1	1	675	266	364	1	95.000000	 
2	1	29	0	0	0	681	276	615	1	-1	
3	1	29	1	0	0	681	276	615	1	-1	
4	1	29	1	1	0	681	276	615	1	-1	
5	1	29	1	1	1	681	276	615	1	95.000000	 
2	1	30	0	0	0	711	714	553	1	-1	
3	1	30	1	0	0	711	714	553	1	-1	
4	1	30	1	1	0	711	714	553	1	-1	
5	1	30	1	1	1	711	714	553	1	95.000000	 
2	1	31	0	0	0	711	752	553	1	-1	
3	1	31	1	0	0	711	752	553	1	-1	
4	1	31	1	1	0	711	752	553	1	-1	
5	1	31	1	1	1	711	752	553	1	95.000000	 
2	1	32	0	0	0	675	177	1	629	-1	
3	1	32	1	0	0	675	177	1	629	-1	
4	1	32	1	1	0	675	177	1	629	-1	
5	1	32	1	1	1	675	177	1	629	95.000000	 
2	1	33	0	0	0	1301	177	1	629	-1	
3	1	33	1	0	0	1301	177	1	629	-1	
4	1	33	1	1	0	1301	177	1	629	-1	
5	1	33	1	1	1	1301	177	1	629	95.000000	 
2	1	34	0	0	0	605	808	691	1	-1	
3	1	34	1	0	0	605	808	691	1	-1	
4	1	34	1	1	0	605	808	691	1	-1	
5	1	34	1	1	1	605	808	691	1	95.000000	 
2	1	35	0	0	0	595	720	682	106	-1	
3	1	35	1	0	0	595	717	682	109	-1	
4	1	35	1	1	0	715	720	533	29	-1	
5	1	35	1	1	1	715	720	56	29	85.761795	Created
5	1	35	1	1	2	777	720	45	29	65.145309	#GZM2
5	1	35	1	1	3	1119	719	26	29	93.147362	Undo
5	1	35	1	1	4	1156	719	56	29	30.312271	(ctri#z)
5	1	35	1	1	5	1241	731	7	6	64.425720	x
4	1	35	1	2	0	595	773	682	29	-1	
5	1	35	1	2	1	595	773	27	29	96.197769	auto
5	1	35	1	2	2	1050	783	77	14	0.000000	feTesK(ccoM
5	1	35	1	2	3	1162	784	29	10	66.198463	Save
5	1	35	1	2	4	1198	775	79	29	68.696999	(Ctri+Enter)
4	1	35	1	3	0	612	814	8	12	-1	
5	1	35	1	3	1	612	814	8	12	44.172134	9
2	1	36	0	0	0	662	822	653	1	-1	
3	1	36	1	0	0	662	822	653	1	-1	
4	1	36	1	1	0	662	822	653	1	-1	
5	1	36	1	1	1	662	822	653	1	95.000000	 
2	1	37	0	0	0	662	45	1	799	-1	
3	1	37	1	0	0	662	45	1	799	-1	
4	1	37	1	1	0	662	45	1	799	-1	
5	1	37	1	1	1	662	45	1	799	95.000000	 
2	1	38	0	0	0	677	831	627	13	-1	
3	1	38	1	0	0	677	831	627	13	-1	
4	1	38	1	1	0	677	831	627	13	-1	
5	1	38	1	1	1	677	832	19	9	85.676735	Esc
5	1	38	1	1	2	701	831	66	10	85.676735	back
5	1	38	1	1	3	731	822	12	28	89.540993	to
5	1	38	1	1	4	747	831	20	10	92.517181	the
5	1	38	1	1	5	772	831	34	10	91.011375	board
5	1	38	1	1	6	818	831	34	10	85.084686	eedit
5	1	38	1	1	7	862	822	33	28	49.277832	d/Tab
5	1	38	1	1	8	901	822	30	28	49.277832	reply
5	1	38	1	1	9	942	822	32	28	88.045868	Enter
5	1	38	1	1	10	980	822	44	28	88.045868	discuss
5	1	38	1	1	11	1034	822	22	28	77.701790	por
5	1	38	1	1	12	1054	831	104	13	43.397362	Ctri+Enter
5	1	38	1	1	13	1132	822	29	28	91.246857	plan
5	1	38	1	1	14	1168	833	58	8	87.143028	xexecute
5	1	38	1	1	15	1237	831	44	13	86.750168	vverify
5	1	38	1	1	16	1292	832	12	9	45.548855	De
2	1	39	0	0	0	667	849	642	1	-1	
3	1	39	1	0	0	667	849	642	1	-1	
4	1	39	1	1	0	667	849	642	1	-1	
5	1	39	1	1	1	667	849	642	1	95.000000	 
2	1	40	0	0	0	1314	45	1	799	-1	
3	1	40	1	0	0	1314	45	1	799	-1	
4	1	40	1	1	0	1314	45	1	799	-1	
5	1	40	1	1	1	1314	45	1	799	95.000000	 
